time,location,growth
51,TX,6
52,CA,60
52,FL,20
52,MI,21
52,NJ,20
52,NY,83
52,Other,368
52,South,44
52,TX,17
53,CA,91
53,FL,26
53,MI,12
53,NJ,20
53,NY,178
53,Other,309
53,South,113
53,TX,16
54,CA,1
54,FL,24
54,MI,9
54,NJ,3
54,NY,76
54,Other,77
54,South,50
54,TX,4
55,CA,184
55,FL,1
55,MI,31
55,NJ,104
55,NY,328
55,Other,688
55,South,101
55,TX,21
56,CA,143
56,FL,89
56,MI,14
56,NJ,74
56,NY,446
56,Other,858
56,South,192
56,TX,26
57,CA,131
57,FL,116
57,MI,69
57,NJ,147
57,NY,1100
57,Other,796
57,South,216
57,TX,86
58,CA,178
58,FL,126
58,MI,155
58,NJ,344
58,NY,1714
58,Other,1479
58,South,390
58,TX,109
59,CA,234
59,FL,132
59,MI,157
59,NJ,149
59,NY,3439
59,Other,1569
59,South,571
59,TX,123
60,CA,169
60,FL,199
60,MI,154
60,NJ,437
60,NY,2750
60,Other,1549
60,South,598
60,TX,153
61,CA,239
61,FL,241
61,MI,506
61,NJ,587
61,NY,4781
61,Other,2024
61,South,387
61,TX,61
62,CA,462
62,FL,223
62,MI,323
62,NJ,930
62,NY,5693
62,Other,2493
62,South,993
62,TX,121
63,CA,429
63,FL,185
63,MI,488
63,NJ,831
63,NY,4797
63,Other,2747
63,South,938
63,TX,204
64,CA,467
64,FL,270
64,MI,526
64,NJ,727
64,NY,5160
64,Other,3450
64,South,1202
64,TX,280
65,CA,901
65,FL,675
65,MI,564
65,NJ,2474
65,NY,6556
65,Other,5063
65,South,1308
65,TX,315
66,CA,769
66,FL,543
66,MI,816
66,NJ,1949
66,NY,7304
66,Other,5305
66,South,1630
66,TX,374
67,CA,431
67,FL,863
67,MI,1042
67,NJ,2299
67,NY,7699
67,Other,5187
67,South,1591
67,TX,518
68,CA,753
68,FL,483
68,MI,863
68,NJ,2262
68,NY,7248
68,Other,5816
68,South,1137
68,TX,337
69,CA,1292
69,FL,1227
69,MI,1050
69,NJ,3250
69,NY,7015
69,Other,6469
69,South,1391
69,TX,381
70,CA,1078
70,FL,1268
70,MI,1148
70,NJ,2060
70,NY,9190
70,Other,7665
70,South,3269
70,TX,636
71,CA,1182
71,FL,215
71,MI,1766
71,NJ,3559
71,NY,14524
71,Other,7324
71,South,3173
71,TX,500
72,CA,1381
72,FL,2052
72,MI,1513
72,NJ,3335
72,NY,10403
72,Other,8562
72,South,4314
72,TX,675
73,CA,1227
73,FL,1260
73,MI,1991
73,NJ,4305
73,NY,10675
73,Other,9524
73,South,2534
73,TX,771
74,CA,821
74,FL,1269
74,MI,1514
74,NJ,4229
74,NY,10250
74,Other,10019
74,South,3473
74,TX,841
75,CA,2196
75,FL,813
75,MI,1533
75,NJ,3381
75,NY,10995
75,Other,8251
75,South,2061
75,TX,647
76,CA,994
76,FL,974
76,MI,1552
76,NJ,3585
76,NY,9861
76,Other,10138
76,South,3412
76,TX,865
77,CA,1326
77,FL,1221
77,MI,1824
77,NJ,3326
77,NY,7413
77,Other,10616
77,South,4153
77,TX,888
78,CA,1542
78,FL,911
78,MI,1432
78,NJ,3021
78,NY,10211
78,Other,10523
78,South,2690
78,TX,862
79,CA,816
79,FL,908
79,MI,1221
79,NJ,3590
79,NY,12071
79,Other,12462
79,South,3455
79,TX,1418
80,CA,1376
80,FL,1167
80,MI,982
80,NJ,3561
80,NY,11473
80,Other,11881
80,South,3024
80,TX,951
81,CA,628
81,FL,963
81,MI,1221
81,NJ,3563
81,NY,8533
81,Other,10772
81,South,2532
81,TX,918
82,CA,1088
82,FL,1401
82,MI,683
82,NJ,3699
82,NY,8373
82,Other,9253
82,South,2123
82,TX,635
83,CA,1139
83,FL,1124
83,MI,1439
83,NJ,2734
83,NY,7853
83,Other,10087
83,South,2006
83,TX,548
84,CA,1457
84,FL,609
84,MI,1420
84,NJ,4240
84,NY,7471
84,Other,10193
84,South,2631
84,TX,760
85,CA,1293
85,FL,883
85,MI,1102
85,NJ,2206
85,NY,6658
85,Other,10569
85,South,1773
85,TX,956
86,CA,988
86,FL,832
86,MI,822
86,NJ,4287
86,NY,7889
86,Other,11584
86,South,2692
86,TX,941
87,CA,1783
87,FL,1416
87,MI,1259
87,NJ,3150
87,NY,6986
87,Other,14565
87,South,2931
87,TX,940
88,CA,1335
88,FL,733
88,MI,806
88,NJ,2953
88,NY,6877
88,Other,12252
88,South,2177
88,TX,799
89,CA,855
89,FL,822
89,MI,657
89,NJ,3881
89,NY,6644
89,Other,10305
89,South,2374
89,TX,558
90,CA,2286
90,FL,745
90,MI,636
90,NJ,3421
90,NY,6386
90,Other,13213
90,South,2576
90,TX,565
91,CA,1847
91,FL,810
91,MI,724
91,NJ,3665
91,NY,4633
91,Other,11603
91,South,1697
91,TX,938
92,CA,1946
92,FL,440
92,MI,1356
92,NJ,3527
92,NY,4259
92,Other,13617
92,South,2922
92,TX,792
93,CA,2207
93,FL,1339
93,MI,1441
93,NJ,4111
93,NY,5497
93,Other,14639
93,South,3116
93,TX,1220
94,CA,1857
94,FL,885
94,MI,1485
94,NJ,2171
94,NY,6668
94,Other,15754
94,South,2532
94,TX,975
95,CA,968
95,FL,306
95,MI,459
95,NJ,3302
95,NY,9442
95,Other,12895
95,South,2508
95,TX,515
96,CA,1117
96,FL,693
96,MI,751
96,NJ,3540
96,NY,5677
96,Other,11907
96,South,2052
96,TX,764
97,CA,1499
97,FL,606
97,MI,494
97,NJ,2150
97,NY,4313
97,Other,11878
97,South,2249
97,TX,514
98,CA,1327
98,FL,710
98,MI,1132
98,NJ,2668
98,NY,2908
98,Other,12988
98,South,1903
98,TX,941
99,CA,2596
99,FL,345
99,MI,1213
99,NJ,2509
99,NY,3136
99,Other,12962
99,South,2641
99,TX,1036
100,CA,1402
100,FL,497
100,MI,1099
100,NJ,2287
100,NY,4377
100,Other,15935
100,South,2275
100,TX,1348
101,CA,1824
101,FL,1038
101,MI,1046
101,NJ,2551
101,NY,4490
101,Other,18528
101,South,4369
101,TX,1080
102,CA,1297
102,FL,735
102,MI,900
102,NJ,2532
102,NY,4375
102,Other,13250
102,South,3105
102,TX,1156
103,CA,1490
103,FL,615
103,MI,623
103,NJ,3028
103,NY,3511
103,Other,12222
103,South,1811
103,TX,997
104,CA,1096
104,FL,819
104,MI,301
104,NJ,1533
104,NY,3143
104,Other,13914
104,South,2513
104,TX,766
105,CA,2620
105,FL,542
105,MI,566
105,NJ,2332
105,NY,2106
105,Other,12952
105,South,2165
105,TX,1248
106,CA,2206
106,FL,563
106,MI,824
106,NJ,1300
106,NY,2123
106,Other,13885
106,South,2570
106,TX,1088
107,CA,1624
107,FL,826
107,MI,674
107,NJ,2109
107,NY,3211
107,Other,15339
107,South,2610
107,TX,1019
108,CA,1695
108,FL,371
108,MI,758
108,NJ,1862
108,NY,2899
108,Other,15440
108,South,2527
108,TX,1286
109,CA,2721
109,FL,802
109,MI,506
109,NJ,1565
109,NY,2635
109,Other,12937
109,South,2517
109,TX,1453
110,CA,946
110,FL,595
110,MI,410
110,NJ,1359
110,NY,2400
110,Other,10162
110,South,2171
110,TX,824
111,CA,1808
111,FL,386
111,MI,545
111,NJ,1466
111,NY,1824
111,Other,10233
111,South,2115
111,TX,894
112,CA,1731
112,FL,941
112,MI,632
112,NJ,727
112,NY,1330
112,Other,13436
112,South,2821
112,TX,1329
113,CA,1833
113,FL,479
113,MI,556
113,NJ,657
113,NY,1518
113,Other,11316
113,South,2623
113,TX,1426
114,CA,1977
114,FL,808
114,MI,1348
114,NJ,1161
114,NY,2339
114,Other,14549
114,South,3391
114,TX,1245
115,CA,1847
115,FL,928
115,MI,643
115,NJ,1290
115,NY,2248
115,Other,13586
115,South,3015
115,TX,1190
116,CA,2044
116,FL,673
116,MI,505
116,NJ,1109
116,NY,2518
116,Other,13133
116,South,2418
116,TX,1759
117,CA,1338
117,FL,777
117,MI,648
117,NJ,1420
117,NY,2023
117,Other,9355
117,South,1822
117,TX,980
118,CA,1511
