lastupdated,province,infections,casualties,date,state
2020-03-24 23:37:31,Massachusetts,1159,11,2020-03-24,Other
2020-03-24 23:37:31,Michigan,1793,24,2020-03-24,Other
2020-03-24 23:37:31,Minnesota,261,1,2020-03-24,Other
2020-03-24 23:37:31,Mississippi,320,1,2020-03-24,Other
2020-03-24 23:37:31,Missouri,257,7,2020-03-24,Other
2020-03-24 23:37:31,Montana,51,0,2020-03-24,Other
2020-03-24 23:37:31,Nebraska,66,0,2020-03-24,Other
2020-03-24 23:37:31,Nevada,278,4,2020-03-24,Other
2020-03-24 23:37:31,New Hampshire,101,1,2020-03-24,Other
2020-03-24 23:37:31,New Jersey,3675,44,2020-03-24,NJ
2020-03-24 23:37:31,New Mexico,100,0,2020-03-24,Other
2020-03-24 23:37:31,New York,25681,210,2020-03-24,NY
2020-03-24 23:37:31,North Carolina,495,0,2020-03-24,Other
2020-03-24 23:37:31,North Dakota,36,0,2020-03-24,Other
2020-03-24 23:37:31,Northern Mariana Islands,0,0,2020-03-24,Other
2020-03-24 23:37:31,Ohio,567,8,2020-03-24,Other
2020-03-24 23:37:31,Oklahoma,106,3,2020-03-24,Other
2020-03-24 23:37:31,Oregon,210,8,2020-03-24,Other
2020-03-24 23:37:31,Pennsylvania,946,8,2020-03-24,Other
2020-03-24 23:37:31,Puerto Rico,39,2,2020-03-24,Other
2020-03-24 23:37:31,Recovered,0,0,2020-03-24,Other
2020-03-24 23:37:31,Rhode Island,124,0,2020-03-24,Other
2020-03-24 23:37:31,South Carolina,342,5,2020-03-24,SC
2020-03-24 23:37:31,South Dakota,30,1,2020-03-24,Other
2020-03-24 23:37:31,Tennessee,772,2,2020-03-24,Other
2020-03-24 23:37:31,Texas,955,12,2020-03-24,Other
2020-03-24 23:37:31,Utah,298,1,2020-03-24,Other
2020-03-24 23:37:31,Vermont,95,7,2020-03-24,Other
2020-03-24 23:37:31,Virgin Islands,17,0,2020-03-24,Other
2020-03-24 23:37:31,Virginia,293,9,2020-03-24,Other
2020-03-24 23:37:31,Washington,2328,116,2020-03-24,WA
2020-03-24 23:37:31,West Virginia,22,0,2020-03-24,Other
2020-03-24 23:37:31,Wisconsin,481,5,2020-03-24,Other
2020-03-24 23:37:31,Wuhan Evacuee,4,0,2020-03-24,Other
