time,location,count
56,Other,70
57,CA,16
57,FL,7
57,LA,6
57,MI,1
57,NJ,5
57,NY,17
57,Other,91
58,CA,18
58,FL,9
58,LA,10
58,MI,1
58,NJ,9
58,NY,38
58,Other,124
59,CA,24
59,FL,11
59,LA,14
59,MI,1
59,NJ,11
59,NY,46
59,Other,151
60,CA,25
60,FL,13
60,LA,20
60,MI,3
60,NJ,16
60,NY,60
60,Other,181
61,CA,30
61,FL,13
61,LA,20
61,MI,9
61,NJ,20
61,NY,117
61,Other,218
62,CA,39
62,FL,18
62,LA,35
62,MI,15
62,NJ,27
62,NY,158
62,Other,260
63,CA,50
63,FL,18
63,LA,46
63,MI,24
63,NJ,44
63,NY,210
63,Other,314
64,CA,65
64,FL,23
64,LA,65
64,MI,43
64,NJ,62
64,NY,285
64,Other,399
65,CA,81
65,FL,29
65,LA,83
65,MI,61
65,NJ,81
65,NY,385
65,Other,489
66,CA,94
66,FL,35
66,LA,119
66,MI,92
66,NJ,108
66,NY,527
66,Other,606
67,CA,110
67,FL,54
67,LA,137
67,MI,111
67,NJ,140
67,NY,883
67,Other,746
68,CA,124
68,FL,56
68,LA,151
68,MI,132
68,NJ,161
68,NY,1063
68,Other,878
69,CA,146
69,FL,63
69,LA,185
69,MI,184
69,NJ,198
69,NY,1342
69,Other,984
70,CA,173
70,FL,85
70,LA,239
70,MI,259
70,NJ,267
70,NY,1714
70,Other,1300
71,CA,199
71,FL,87
71,LA,273
71,MI,335
71,NJ,355
71,NY,2176
71,Other,1567
72,CA,238
72,FL,164
72,LA,310
72,MI,417
72,NJ,537
72,NY,2738
72,Other,1887
73,CA,265
73,FL,170
73,LA,370
73,MI,479
73,NJ,646
73,NY,3262
73,Other,2222
74,CA,289
74,FL,195
74,LA,409
74,MI,540
74,NJ,846
74,NY,3544
74,Other,2563
75,CA,348
75,FL,221
75,LA,477
75,MI,617
75,NJ,917
75,NY,4029
75,Other,2880
76,CA,380
76,FL,236
76,LA,512
76,MI,727
76,NJ,1003
76,NY,4698
76,Other,3227
77,CA,432
77,FL,283
77,LA,582
77,MI,845
77,NJ,1232
77,NY,5489
77,Other,3931
78,CA,495
78,FL,309
78,LA,652
78,MI,959
78,NJ,1504
78,NY,6268
78,Other,4508
79,CA,544
79,FL,354
79,LA,702
79,MI,1076
79,NJ,1709
79,NY,7067
79,Other,5092
80,CA,583
80,FL,390
80,LA,755
80,MI,1276
80,NJ,1932
80,NY,7867
80,Other,5783
81,CA,604
81,FL,438
81,LA,806
81,MI,1384
81,NJ,2183
81,NY,8627
81,Other,6420
82,CA,640
82,FL,461
82,LA,840
82,MI,1479
82,NJ,2350
82,NY,9385
82,Other,6864
83,CA,714
83,FL,499
83,LA,884
83,MI,1602
83,NJ,2443
83,NY,10058
83,Other,7328
84,CA,767
84,FL,571
84,LA,1013
84,MI,1768
84,NJ,2805
84,NY,10842
84,Other,8065
85,CA,860
85,FL,596
85,LA,1103
85,MI,1921
85,NJ,3156
85,NY,11617
85,Other,9072
86,CA,956
86,FL,668
86,LA,1156
86,MI,1996
86,NJ,3518
86,NY,14832
86,Other,9790
87,CA,1037
87,FL,725
87,LA,1213
87,MI,2227
87,NJ,3840
87,NY,17131
87,Other,10600
88,CA,1140
88,FL,748
88,LA,1267
88,MI,2308
88,NJ,4070
88,NY,17671
88,Other,11460
89,CA,1177
89,FL,774
89,LA,1296
89,MI,2391
89,NJ,4362
89,NY,18298
89,Other,12363
90,CA,1225
90,FL,822
90,LA,1328
90,MI,2468
90,NJ,4496
90,NY,18611
90,Other,13144
