time,location,count
65,CA,3899
65,MA,2417
65,MI,2845
65,NJ,6876
65,NY,37877
65,Other,29922
66,CA,4657
66,MA,3240
66,MI,3634
66,NJ,8825
66,NY,44876
66,Other,36425
67,CA,5095
67,MA,4257
67,MI,4650
67,NJ,11124
67,NY,52410
67,Other,43942
68,CA,5852
68,MA,4955
68,MI,5488
68,NJ,13386
68,NY,59648
68,Other,51557
69,CA,7138
69,MA,5752
69,MI,6498
69,NJ,16636
69,NY,66663
69,Other,59120
